,plant_id,name_e,family,genus,species,eatr,medr,care,eat,med,others,name_k
177,177,Large-Flowered Calamint,Lamiaceae|Labiatae,Calamintha,grandiflora,2,4,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Condiment|Tea,Aromatic|Diaphoretic|Expectorant,,큰꽃개박하
178,178,Pheasant's Eye,Ranunculaceae,Adonis,aestivalis,0,2,FullyHardy|MoistSoil|Semi|Fullsun,,Cardiotonic|Diuretic|Laxative|Lithontripic,,붉은복수초
179,179,Nodding Onion,Alliaceae,Allium,cernuum,5,4,FullyHardy|MoistSoil|Fullsun,,Lithontripic|Poultice,Repellent,끄덕임양파
180,180,Globe Artichoke,Asteraceae|Compositae,Cynara,scolymus,3,10,FullyHardy|MoistSoil|Fullsun,,Anticholesterolemic|Antirheumatic|Appetizer|Cholagogue|Digestive|Diuretic|Hypoglycaemic|Lithontripic,Dye,아티초크
181,181,Lady's Bedstraw,Rubiaceae,Galium,verum,3,4,FullyHardy|Welldrainedsoil|MoistSoil|Semi|Fullsun,Coffee|Colouring|Drink,Antispasmodic|Astringent|Diuretic|Epilepsy|Lithontripic|Urinary|Vulnerary,Dye|Repellent|Strewing|Stuffing,솔나물
182,182,Yellow Sorrel,Oxalidaceae,Oxalis,corniculata,2,4,FullyHardy|Welldrainedsoil|MoistSoil|Fullsun,Gum,Anthelmintic|Antiphlogistic|Antiscorbutic|Astringent|Depurative|Diuretic|Emmenagogue|Febrifuge|Lithontripic|Miscellany|Stomachic|Styptic|Urinary,Dye|Gum|Miscellany,괭이밥
183,183,Knotweed,Polygonaceae,Polygonum,aviculare,2,6,FullyHardy|MoistSoil|Semi|Fullsun,Tea,Anthelmintic|Antiphlogistic|Astringent|Cardiotonic|Cholagogue|Diuretic|Dysentery|Emetic|Emollient|Expectorant|Febrifuge|Haemostatic|Lithontripic|Purgative|TB|Vasoconstrictor|Vulnerary,Dye,마디풀
184,184,Foamflower,Saxifragaceae,Tiarella,cordifolia,0,4,FullyHardy|MoistSoil|Fullshade|Semi,,Diuretic|Hepatic|Lithontripic|Poultice|Stomachic|Tonic,,매화헐떡이풀
185,185,Stinking Cassia,Fabaceae|Leguminosae,Senna,tora,1,6,MoistSoil|Semi|Fullsun,Coffee,Anthelmintic|Anticholesterolemic|Antispasmodic|Carminative|Febrifuge|Hepatic|Leprosy|Ophthalmic|Parasiticide|Purgative,Parasiticide|Tannin,결명자
186,186,Pennycress,Brassicaceae|Cruciferae,Thlaspi,arvense,2,4,FullyHardy|MoistSoil|Fullsun,Condiment|Oil,Antibacterial|Antidote|Antiinflammatory|Antirheumatic|Diaphoretic|Diuretic|Expectorant|Febrifuge|Hepatic|Ophthalmic|Tonic,Oil,말냉이
